state,district,year,congress_nbr,vote
AL,1,1825,19,7168
AL,2,1823,18,8633
AL,2,1825,19,10471
KY,1,1803,8,4845
KY,1,1806,10,7745
KY,1,1810,12,9928
KY,1,1812,13,4560
KY,1,1816,15,6006
KY,1,1818,16,5701
KY,2,1812,13,3164
KY,2,1816,15,4330
KY,2,1822,18,5368
KY,2,1824,19,5180
KY,3,1806,10,4920
KY,3,1812,13,4048
KY,3,1814,14,3677
KY,3,1816,15,6427
KY,3,1818,16,6490
KY,4,1803,8,5398
KY,4,1806,10,5446
KY,4,1812,13,3830
KY,4,1816,15,5332
KY,4,1822,18,5872
KY,4,1824,19,6360
KY,5,1806,10,4353
KY,5,1808,11,4745
KY,5,1812,13,4762
KY,5,1814,14,5836
KY,5,1816,15,5567
KY,5,1818,16,6270
KY,6,1803,8,4394
KY,6,1812,13,4571
KY,6,1816,15,6094
KY,6,1822,18,6371
KY,7,1812,13,3406
KY,7,1814,14,3708
KY,7,1816,15,4168
KY,7,1822,18,6250
KY,8,1816,15,4536
KY,9,1824,19,5006
KY,10,1816,15,5211
KY,10,1818,16,5508
KY,10,1824,19,5057
LA,1,1822,18,1630
LA,2,1822,18,1729
LA,3,1822,18,1678
MA,1,1788,1,1613
MA,1,1790,2,2509
MA,1,1792,3,2804
MA,2,1788,1,1469
MA,2,1790,2,1182
MA,2,1792,3,3822
MA,3,1788,1,1473
MA,3,1790,2,1792
MA,4,1788,1,2352
MA,4,1790,2,2987
MA,5,1788,1,554
MA,5,1790,2,843
MA,6,1788,1,948
MA,6,1790,2,1487
MA,7,1788,1,1316
MA,7,1790,2,2245
MA,8,1788,1,1886
MA,8,1790,2,1636
MD,1,1792,3,2173
MD,1,1794,4,2368
MD,1,1796,5,787
MD,1,1798,6,2279
MD,1,1801,7,1576
MD,1,1803,8,2179
MD,1,1804,9,1258
MD,1,1806,10,1715
MD,1,1808,11,2607
MD,1,1810,12,1500
MD,1,1812,13,2073
MD,1,1814,14,1489
MD,1,1816,15,1102
MD,1,1818,16,2953
MD,1,1820,17,2603
MD,1,1822,18,2077
MD,1,1824,19,3301
MD,2,1792,3,2467
MD,2,1794,4,1776
MD,2,1796,5,1400
MD,2,1798,6,3121
MD,2,1801,7,2143
MD,2,1803,8,2094
MD,2,1804,9,1604
MD,2,1806,10,3252
MD,2,1808,11,2953
MD,2,1810,12,3038
MD,2,1812,13,3666
MD,2,1814,14,3395
MD,2,1816,15,3163
MD,2,1818,16,2621
MD,2,1820,17,1824
MD,2,1822,18,1697
MD,2,1824,19,3649
MD,3,1792,3,1530
MD,3,1794,4,1188
MD,3,1796,5,1295
MD,3,1798,6,1436
MD,3,1801,7,1817
MD,3,1803,8,3613
MD,3,1804,9,1706
MD,3,1806,10,3631
MD,3,1808,11,4056
MD,3,1810,12,777
MD,3,1812,13,4297
MD,3,1814,14,2460
MD,3,1816,15,4106
MD,3,1818,16,3804
MD,3,1820,17,3120
MD,3,1822,18,2788
MD,4,1792,3,497
MD,4,1794,4,2764
MD,4,1796,5,2487
MD,4,1798,6,5184
